,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Ta Khmau,40,KH,1570544148,79,11.48,104.95,29.0,1.0
375,Matamoros,1,US,1570544220,78,25.87,-97.51,27.78,2.6
376,Loikaw,0,MM,1570544220,89,19.67,97.21,17.01,0.31
377,Maningrida,27,AU,1570544221,93,-12.05,134.23,23.11,1.7
378,Zyryanka,100,RU,1570544221,68,65.73,150.89,-7.7,2.76
379,Albufeira,0,PT,1570544221,65,37.09,-8.25,26.67,2.1
380,Samarai,82,PG,1570544222,90,-10.62,150.67,21.91,2.05
381,Pisco,90,PE,1570544222,30,-13.71,-76.2,22.0,2.1
382,Faya,40,SA,1570544223,23,18.39,42.45,25.0,8.2
383,Los Llanos de Aridane,75,ES,1570544223,65,28.66,-17.92,25.0,4.6
384,Ikom,97,NG,1570544224,86,5.96,8.72,26.31,2.39
385,Praya,75,ID,1570544224,83,-8.71,116.27,26.0,2.6
386,Upington,0,ZA,1570544225,10,-28.46,21.24,29.0,2.6
387,Carnduff,96,CA,1570544225,70,49.17,-101.8,8.89,1.79
388,Laives,0,FR,1570544226,60,46.65,4.85,23.0,6.7
389,Maniitsoq,1,GL,1570544226,42,65.42,-52.9,2.81,1.28
390,Sambava,84,MG,1570544227,85,-14.27,50.17,21.01,0.9
391,Viedma,78,AR,1570544227,34,-40.81,-62.99,15.41,6.65
392,Tuatapere,100,NZ,1570544227,97,-46.13,167.69,10.56,0.45
393,Veraval,75,FR,1570544228,82,49.65,0.71,16.67,4.6
394,Greenwood,51,CA,1570543972,83,49.09,-118.68,-0.1,1.94
395,Council Bluffs,1,US,1570544209,76,41.26,-95.86,14.44,5.1
396,Lensk,73,RU,1570544230,96,60.71,114.91,-9.1,1.58
397,Cabra,0,ES,1570544230,24,37.47,-4.43,33.0,1.5
398,Aksu,0,KZ,1570544231,62,52.04,76.93,12.0,4.0
399,Kuryk,52,KZ,1570544231,38,43.18,51.68,21.31,4.09
400,Tarakan,20,ID,1570544231,83,3.3,117.63,27.0,1.5
401,Alice Springs,0,AU,1570544232,24,-23.7,133.88,19.0,3.6
402,Anton Lizardo,75,MX,1570544232,88,19.05,-95.98,25.56,10.08
403,Faranah,100,GN,1570544232,79,10.04,-10.74,27.11,2.08
404,Fare,100,PF,1570544233,85,-16.7,-151.02,24.51,10.15
405,San Quintin,0,PH,1570544233,85,17.54,120.52,22.71,2.3
406,Cayenne,75,GF,1570544233,62,4.94,-52.33,31.0,3.6
407,Saint-Georges,0,CA,1570544029,87,46.12,-70.67,11.11,0.89
408,Pacific Grove,1,US,1570544234,54,36.62,-121.92,15.0,1.13
409,Guzelyurt,75,TR,1570544234,38,38.28,34.37,23.0,5.7
410,Udachnyy,90,RU,1570544235,92,66.42,112.4,-9.0,4.0
411,Muborak,0,UZ,1570544235,23,39.25,65.15,20.91,4.37
412,Le Port,91,FR,1570544236,48,42.87,1.37,27.78,1.34
413,Bulgan,0,MN,1570544236,49,48.81,103.53,5.71,2.49
414,Avera,75,US,1570544236,69,33.19,-82.53,24.0,2.6
415,Tibagi,83,BR,1570544237,46,-24.52,-50.41,24.91,2.05
416,Igrim,80,RU,1570544237,93,63.19,64.42,5.61,1.99
417,Del Rio,1,US,1570544238,68,29.36,-100.9,20.0,3.1
418,Tarko-Sale,100,RU,1570544238,90,64.92,77.78,0.0,3.41
419,Noyabrsk,98,RU,1570544239,77,63.2,75.45,1.11,4.87
420,Nuuk,20,GL,1570544130,74,64.17,-51.74,3.0,1.0
421,Tecoanapa,90,MX,1570544239,78,16.99,-99.26,28.0,1.5
422,Telde,20,ES,1570544240,65,27.99,-15.42,26.11,10.3
423,Heihe,0,RU,1570544240,41,50.24,127.51,4.0,3.0
424,Fairbanks,90,US,1570543945,91,64.84,-147.72,0.0,1.5
425,Dzilam Gonzalez,100,MX,1570544241,73,21.28,-88.93,30.56,2.41
426,Iquique,20,CL,1570544241,67,-20.22,-70.14,16.0,3.6
427,Kulhudhuffushi,9,MV,1570544241,76,6.62,73.07,28.31,4.78
428,Sao Miguel,62,BR,1570544242,64,4.52,-61.01,26.71,1.63
429,Kamenka,52,MD,1570544242,51,48.03,28.7,9.44,1.34
430,Vila Franca do Campo,75,PT,1570544243,72,37.72,-25.43,21.67,7.7
431,Clyde River,1,CA,1570544243,100,70.47,-68.59,-2.0,0.81
432,Sijunjung,100,ID,1570544243,97,-0.69,100.95,19.91,1.15
433,Guaymas,5,MX,1570544135,54,27.92,-110.9,28.0,1.9
434,Karachi,0,PK,1570544094,55,24.87,67.03,30.0,4.1
435,Dingle,38,PH,1570544244,85,11.0,122.67,23.61,1.91
436,Baracoa,99,CU,1570544244,78,20.35,-74.5,27.91,1.2
437,Abha,40,SA,1570544244,23,18.22,42.5,25.0,8.2
438,Bergkamen,75,DE,1570544244,82,51.61,7.64,15.56,4.1
439,Burnham,100,NZ,1570544246,63,-43.62,172.3,16.11,4.1
440,Zastron,0,ZA,1570544246,17,-30.3,27.08,23.41,3.18
441,Cisnadie,40,RO,1570544246,46,45.72,24.15,12.0,2.1
442,Brigantine,90,US,1570544247,87,39.41,-74.36,18.33,6.7
443,Sarvar,0,HU,1570544247,47,47.25,16.94,15.0,7.2
444,Ossora,0,RU,1570544247,69,59.24,163.07,-3.0,1.9
445,Ambilobe,92,MG,1570544248,55,-13.19,49.05,26.71,8.43
446,Sechura,90,PE,1570544248,89,-5.56,-80.82,16.71,3.29
447,Goderich,0,CA,1570544105,75,43.74,-81.71,12.22,4.02
448,Pontianak,97,ID,1570544249,76,-0.02,109.34,27.91,3.74
449,Pombas,28,BR,1570544249,42,-15.9,-54.74,32.71,2.46
450,Waupun,1,US,1570544249,76,43.63,-88.73,13.33,4.16
451,Vanimo,100,PG,1570544250,76,-2.67,141.3,28.31,2.94
452,Sur,0,OM,1570544250,68,22.57,59.53,26.71,3.87
453,Gravdal,75,NO,1570544250,87,59.79,5.78,10.56,5.7
454,Teguldet,26,RU,1570544250,86,57.31,88.17,2.41,2.24
455,Stonehaven,20,GB,1570544251,76,56.96,-2.22,12.22,7.2
456,Bridlington,0,GB,1570544251,59,54.08,-0.19,16.11,6.7
457,Erenhot,0,CN,1570544251,41,43.65,111.97,10.21,4.12
458,Hamilton,20,CA,1570544082,87,43.26,-79.87,16.67,3.6
459,Sorland,40,NO,1570544252,58,67.67,12.69,8.0,10.8
460,Boyolangu,51,ID,1570544252,93,-8.09,111.9,20.61,2.21
461,Riberalta,75,BO,1570544253,78,-11.0,-66.08,24.0,2.1
462,Kununurra,90,AU,1570544253,58,-15.77,128.74,28.0,3.6
463,Tual,100,ID,1570544254,84,-5.67,132.75,26.61,9.22
464,Tieli,0,CN,1570544254,50,46.98,128.05,2.91,2.0
465,Miles City,1,US,1570544254,65,46.41,-105.84,12.78,4.6
466,Kumphawapi,40,TH,1570544254,74,17.11,103.01,27.0,3.1
467,Jinka,100,ET,1570544255,93,5.79,36.57,19.01,1.58
468,Morehead,1,US,1570544255,93,38.18,-83.43,12.0,2.6
469,Horta,40,BR,1570544255,65,-10.93,-37.66,28.0,7.7
470,Beloha,0,MG,1570544256,21,-25.17,45.06,32.41,5.42
471,Seymchan,45,RU,1570544256,92,62.93,152.39,-14.4,0.69
472,Wawa,98,NG,1570544256,72,9.9,4.41,28.41,1.66
473,Bathsheba,75,BB,1570544257,66,13.22,-59.52,29.0,9.3
474,Skawina,0,PL,1570544257,50,49.97,19.83,12.22,3.6
475,Verkhnyaya Inta,68,RU,1570544258,86,65.99,60.32,3.41,2.58
476,Palmer,75,AU,1570544259,66,-34.85,139.16,11.67,3.1
477,Nanortalik,100,GL,1570544259,80,60.14,-45.24,4.61,0.83
478,Port Hawkesbury,90,CA,1570544260,93,45.62,-61.36,16.11,2.6
479,Vagur,100,FO,1570544261,95,61.47,-6.81,9.81,7.02
480,Deputatskiy,100,RU,1570544262,99,69.3,139.9,-16.2,1.23
481,Tarragona,20,ES,1570544262,60,41.12,1.25,25.56,5.1
482,Xining,96,CN,1570544263,84,36.62,101.77,5.91,0.56
483,Moose Factory,90,CA,1570544264,100,51.26,-80.61,4.0,4.6
484,Tucuman,0,PE,1570544264,8,-17.17,-70.89,23.01,4.14
485,Norsup,98,VU,1570544264,78,-16.07,167.38,25.31,3.13
486,Mwanza,20,TZ,1570544265,65,-2.52,32.9,26.0,5.7
487,Ngunguru,41,NZ,1570544265,93,-35.62,174.5,9.44,0.74
488,Kupang,20,ID,1570544074,65,-10.16,123.6,25.0,2.1
489,Luderitz,0,NA,1570544266,56,-26.65,15.16,22.0,12.3
490,Ibra,0,OM,1570544266,47,22.69,58.55,26.61,3.65
491,Kirakira,70,SB,1570544266,84,-10.46,161.92,25.51,1.28
492,Kingston,20,JM,1570544223,62,17.97,-76.79,31.0,8.7
493,Big Rapids,1,US,1570544267,76,43.7,-85.48,12.22,2.1
494,Kloulklubed,75,PW,1570544267,83,7.04,134.26,28.0,5.1
495,Shubarshi,100,KZ,1570544268,51,48.59,57.19,15.91,3.69
496,Petropavlovsk-Kamchatskiy,99,RU,1570544268,93,53.05,158.65,2.0,1.0
497,Krasnyy Oktyabr,89,RU,1570544268,79,56.12,38.88,0.81,3.07
498,Urucara,92,BR,1570544269,67,-2.54,-57.76,28.51,1.11
499,Charters Towers,0,AU,1570544269,32,-20.07,146.27,20.71,2.49
500,Dukat,82,AL,1570544270,56,40.25,19.57,22.22,0.45
501,Kedrovyy,40,RU,1570544270,56,56.17,91.82,7.0,1.0
502,Bonfim,0,BR,1570544271,50,-20.33,-44.24,26.0,5.1
503,Ayan,13,IR,1570544271,37,38.23,44.7,12.81,3.02
504,Te Anau,100,NZ,1570544273,97,-45.41,167.72,7.91,0.71
505,Toora-Khem,77,RU,1570544273,76,52.47,96.11,7.41,3.07
506,Coos Bay,75,US,1570544273,93,43.37,-124.22,14.0,8.04
507,Acapulco,90,MX,1570544202,78,16.86,-99.88,28.0,1.5
508,Verkhnyaya Toyma,100,RU,1570544274,96,62.24,45.0,0.91,7.25
509,Zhigansk,99,RU,1570544274,93,66.77,123.37,-4.2,2.58
510,Rundu,0,NA,1570544274,6,-17.91,19.77,37.0,2.6
511,Hendek,75,TR,1570544275,93,40.8,30.75,14.0,1.5
512,Phan Thiet,89,VN,1570544275,87,10.93,108.1,23.91,1.12
513,Trairi,45,BR,1570544276,35,-3.28,-39.27,33.81,4.78
514,Pedernales,100,EC,1570544276,86,0.07,-80.05,23.61,6.29
515,Homer,1,US,1570544276,100,59.64,-151.54,7.0,4.01
516,Bonthe,100,SL,1570544277,96,7.53,-12.5,23.61,5.28
517,Sunnyside,100,CA,1570544278,83,47.86,-53.92,16.11,9.55
518,Shelburne,20,CA,1570544279,76,44.08,-80.2,15.56,3.1
519,Thabazimbi,0,ZA,1570544279,10,-24.59,27.41,35.56,3.58
520,Poum,75,MK,1570544279,54,41.28,20.71,15.0,2.6
521,Iacu,37,BR,1570544280,42,-12.77,-40.21,31.11,4.71
522,Atar,2,MR,1570544280,6,20.52,-13.05,40.01,4.98
523,Khorinsk,100,RU,1570544281,94,52.16,109.78,4.61,5.59
524,Bien Hoa,20,VN,1570544129,74,10.95,106.82,29.0,4.6
525,Saint-Germain-de-Grantham,1,CA,1570544281,87,45.84,-72.57,12.22,2.1
526,Garowe,98,SO,1570544282,39,8.41,48.48,31.21,4.93
527,Miracema do Tocantins,100,BR,1570544282,33,-9.56,-48.4,36.01,1.33
528,Stoughton,1,CA,1570544119,70,49.68,-103.03,7.0,4.6
529,Sisophon,100,KH,1570544282,86,13.59,102.97,24.61,0.43
530,Mucuri,62,BR,1570544283,63,-18.08,-39.55,28.31,4.05
531,Glendive,1,US,1570544283,75,47.11,-104.71,9.0,3.6
532,Nur,100,PL,1570544283,66,52.67,22.32,7.51,5.74
533,Caravelas,80,BR,1570544284,77,-17.73,-39.27,25.81,5.05
534,Douglas,1,US,1570544284,86,58.28,-134.39,0.56,2.29
535,Buraydah,0,SA,1570544284,27,26.33,43.97,37.0,6.2
536,Yakeshi,29,CN,1570544285,75,49.28,120.73,5.01,4.1
537,Kashira,0,RU,1570544285,55,54.84,38.15,4.0,4.0
538,Lesnoye,100,RU,1570544285,96,51.57,42.77,6.67,0.45
539,Shache,100,CN,1570544285,74,38.42,77.24,17.22,1.34
540,Buchanan,75,LR,1570544286,70,5.88,-10.05,30.0,6.7
541,Lianzhou,79,CN,1570544286,75,24.79,112.38,18.01,1.32
542,Peterhead,75,AU,1570544287,66,-34.83,138.5,11.67,3.1
543,Salta,0,AR,1570544265,38,-24.79,-65.41,26.0,1.5
544,Majene,8,ID,1570544287,68,-3.54,118.97,28.21,3.04
545,Chiredzi,2,ZW,1570544287,13,-21.05,31.67,36.91,5.8
546,Agadez,75,NE,1570544288,29,16.97,7.99,38.0,5.1
547,Nhulunbuy,100,AU,1570544288,88,-12.18,136.78,23.0,2.1
548,Harbour Breton,100,CA,1570544288,94,47.48,-55.8,10.91,10.94
549,Qaqortoq,75,GL,1570544289,82,60.72,-46.03,4.0,1.0
550,Okakarara,34,NA,1570544289,8,-20.59,17.46,33.51,1.68
551,Sao Sebastiao,40,BR,1570544289,79,-3.15,-58.36,30.0,1.5
552,Duncan,1,US,1570544026,81,34.5,-97.96,15.0,2.6
553,Talcahuano,0,CL,1570544290,58,-36.72,-73.12,13.0,4.1
554,Valdivia,75,CL,1570544290,100,-39.81,-73.25,8.0,1.0
555,Nome,90,US,1570544290,88,30.04,-94.42,21.11,3.1
556,Saint-Denis,75,FR,1570544291,87,48.94,2.36,15.0,3.6
